2017-10-02 15:14:06,540 INFO  [main] o.s.w.c.ContextLoader:285 Root WebApplicationContext: initialization started
2017-10-02 15:14:06,607 INFO  [main] o.s.w.c.s.XmlWebApplicationContext:512 Refreshing Root WebApplicationContext: startup date [Mon Oct 02 15:14:06 CST 2017]; root of context hierarchy
2017-10-02 15:14:06,645 INFO  [main] o.s.b.f.x.XmlBeanDefinitionReader:316 Loading XML bean definitions from class path resource [spring/root-context.xml]
2017-10-02 15:14:06,915 INFO  [main] o.s.b.f.x.XmlBeanDefinitionReader:316 Loading XML bean definitions from class path resource [spring/mvc-context.xml]
2017-10-02 15:14:07,107 INFO  [main] o.s.b.f.x.XmlBeanDefinitionReader:316 Loading XML bean definitions from class path resource [spring/shunt.xml]
2017-10-02 15:14:07,380 INFO  [main] o.s.b.f.c.PropertyPlaceholderConfigurer:172 Loading properties file from class path resource [jdbc.properties]
2017-10-02 15:14:07,386 INFO  [main] o.s.b.f.a.AutowiredAnnotationBeanPostProcessor:141 JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-10-02 15:14:07,424 INFO  [main] o.s.b.f.s.DefaultListableBeanFactory:603 Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@4978777f: defining beans [org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.context.annotation.internalPersistenceAnnotationProcessor,org.springframework.beans.factory.config.PropertyPlaceholderConfigurer#0,mvcContentNegotiationManager,org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping#0,org.springframework.format.support.FormattingConversionServiceFactoryBean#0,org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter#0,org.springframework.web.servlet.handler.MappedInterceptor#0,org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver#0,org.springframework.web.servlet.mvc.annotation.ResponseStatusExceptionResolver#0,org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver#0,org.springframework.web.servlet.handler.BeanNameUrlHandlerMapping,org.springframework.web.servlet.mvc.HttpRequestHandlerAdapter,org.springframework.web.servlet.mvc.SimpleControllerHandlerAdapter,org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0,org.springframework.web.servlet.handler.SimpleUrlHandlerMapping#0,fliggyPublicController,org.springframework.web.servlet.view.InternalResourceViewResolver#0,rest,org.springframework.web.servlet.handler.SimpleMappingExceptionResolver#0,conversionService,org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor]; root of factory hierarchy
2017-10-02 15:14:07,533 INFO  [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping:180 Mapped "{[/fliggy/verify],methods=[POST],params=[],headers=[],consumes=[text/plain],produces=[],custom=[]}" onto public com.sunshine.common.http.response.CommonResponse com.sunshine.publicserver.controller.FliggyPublicController.verify(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2017-10-02 15:14:07,533 INFO  [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping:180 Mapped "{[/fliggy/search],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.sunshine.common.http.response.CommonResponse com.sunshine.publicserver.controller.FliggyPublicController.search(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.sunshine.publicserver.fliggy.vo.SearchRequest)
2017-10-02 15:14:07,969 INFO  [main] o.s.w.s.h.SimpleUrlHandlerMapping:315 Mapped URL path [/images/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0'
2017-10-02 15:14:08,044 INFO  [main] o.s.w.c.ContextLoader:325 Root WebApplicationContext: initialization completed in 1501 ms
2017-10-02 15:14:08,113 INFO  [main] o.s.w.s.DispatcherServlet:457 FrameworkServlet 'restapi': initialization started
2017-10-02 15:14:08,124 INFO  [main] o.s.w.c.s.XmlWebApplicationContext:512 Refreshing WebApplicationContext for namespace 'restapi-servlet': startup date [Mon Oct 02 15:14:08 CST 2017]; parent: Root WebApplicationContext
2017-10-02 15:14:08,126 INFO  [main] o.s.b.f.x.XmlBeanDefinitionReader:316 Loading XML bean definitions from class path resource [spring/mvc-context.xml]
2017-10-02 15:14:08,201 INFO  [main] o.s.b.f.a.AutowiredAnnotationBeanPostProcessor:141 JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-10-02 15:14:08,211 INFO  [main] o.s.b.f.s.DefaultListableBeanFactory:603 Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@11df2829: defining beans [mvcContentNegotiationManager,org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping#0,org.springframework.format.support.FormattingConversionServiceFactoryBean#0,org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter#0,org.springframework.web.servlet.handler.MappedInterceptor#0,org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver#0,org.springframework.web.servlet.mvc.annotation.ResponseStatusExceptionResolver#0,org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver#0,org.springframework.web.servlet.handler.BeanNameUrlHandlerMapping,org.springframework.web.servlet.mvc.HttpRequestHandlerAdapter,org.springframework.web.servlet.mvc.SimpleControllerHandlerAdapter,org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0,org.springframework.web.servlet.handler.SimpleUrlHandlerMapping#0,fliggyPublicController,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.context.annotation.internalPersistenceAnnotationProcessor,org.springframework.web.servlet.view.InternalResourceViewResolver#0,rest,org.springframework.web.servlet.handler.SimpleMappingExceptionResolver#0,conversionService,org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor]; parent: org.springframework.beans.factory.support.DefaultListableBeanFactory@4978777f
2017-10-02 15:14:08,245 INFO  [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping:180 Mapped "{[/fliggy/verify],methods=[POST],params=[],headers=[],consumes=[text/plain],produces=[],custom=[]}" onto public com.sunshine.common.http.response.CommonResponse com.sunshine.publicserver.controller.FliggyPublicController.verify(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2017-10-02 15:14:08,245 INFO  [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping:180 Mapped "{[/fliggy/search],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.sunshine.common.http.response.CommonResponse com.sunshine.publicserver.controller.FliggyPublicController.search(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.sunshine.publicserver.fliggy.vo.SearchRequest)
2017-10-02 15:14:08,320 INFO  [main] o.s.w.s.h.SimpleUrlHandlerMapping:315 Mapped URL path [/images/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0'
2017-10-02 15:14:08,373 INFO  [main] o.s.w.s.DispatcherServlet:476 FrameworkServlet 'restapi': initialization completed in 260 ms
2017-10-02 15:29:19,048 INFO  [main] o.s.w.c.ContextLoader:285 Root WebApplicationContext: initialization started
2017-10-02 15:29:19,134 INFO  [main] o.s.w.c.s.XmlWebApplicationContext:512 Refreshing Root WebApplicationContext: startup date [Mon Oct 02 15:29:19 CST 2017]; root of context hierarchy
2017-10-02 15:29:19,180 INFO  [main] o.s.b.f.x.XmlBeanDefinitionReader:316 Loading XML bean definitions from class path resource [spring/root-context.xml]
2017-10-02 15:29:19,357 INFO  [main] o.s.b.f.x.XmlBeanDefinitionReader:316 Loading XML bean definitions from class path resource [spring/mvc-context.xml]
2017-10-02 15:29:19,533 INFO  [main] o.s.b.f.x.XmlBeanDefinitionReader:316 Loading XML bean definitions from class path resource [spring/shunt.xml]
2017-10-02 15:29:19,925 INFO  [main] o.s.b.f.c.PropertyPlaceholderConfigurer:172 Loading properties file from class path resource [jdbc.properties]
2017-10-02 15:29:19,950 INFO  [main] o.s.b.f.a.AutowiredAnnotationBeanPostProcessor:141 JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
