2017-10-25 23:22:42,166 INFO  [main] o.s.w.c.ContextLoader:285 Root WebApplicationContext: initialization started
2017-10-25 23:22:42,242 INFO  [main] o.s.w.c.s.XmlWebApplicationContext:512 Refreshing Root WebApplicationContext: startup date [Wed Oct 25 23:22:42 CST 2017]; root of context hierarchy
2017-10-25 23:22:42,289 INFO  [main] o.s.b.f.x.XmlBeanDefinitionReader:316 Loading XML bean definitions from class path resource [spring/root-context.xml]
2017-10-25 23:22:42,697 INFO  [main] o.s.b.f.x.XmlBeanDefinitionReader:316 Loading XML bean definitions from class path resource [spring/mvc-context.xml]
2017-10-25 23:22:42,933 INFO  [main] o.s.b.f.x.XmlBeanDefinitionReader:316 Loading XML bean definitions from class path resource [spring/shunt.xml]
2017-10-25 23:22:43,570 INFO  [main] o.s.b.f.c.PropertyPlaceholderConfigurer:172 Loading properties file from class path resource [jdbc.properties]
2017-10-25 23:22:43,584 INFO  [main] o.s.b.f.a.AutowiredAnnotationBeanPostProcessor:141 JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-10-25 23:22:43,641 INFO  [main] o.s.b.f.s.DefaultListableBeanFactory:603 Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@45707f76: defining beans [org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.context.annotation.internalPersistenceAnnotationProcessor,org.springframework.beans.factory.config.PropertyPlaceholderConfigurer#0,mvcContentNegotiationManager,org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping#0,org.springframework.format.support.FormattingConversionServiceFactoryBean#0,org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter#0,org.springframework.web.servlet.handler.MappedInterceptor#0,org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver#0,org.springframework.web.servlet.mvc.annotation.ResponseStatusExceptionResolver#0,org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver#0,org.springframework.web.servlet.handler.BeanNameUrlHandlerMapping,org.springframework.web.servlet.mvc.HttpRequestHandlerAdapter,org.springframework.web.servlet.mvc.SimpleControllerHandlerAdapter,org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0,org.springframework.web.servlet.handler.SimpleUrlHandlerMapping#0,fliggyPublicController,org.springframework.web.servlet.view.InternalResourceViewResolver#0,rest,org.springframework.web.servlet.handler.SimpleMappingExceptionResolver#0,conversionService,org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor]; root of factory hierarchy
2017-10-25 23:22:43,844 INFO  [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping:180 Mapped "{[/fliggy/order],methods=[POST],params=[],headers=[],consumes=[text/plain],produces=[],custom=[]}" onto public com.sunshine.common.http.response.CommonResponse com.sunshine.publicserver.controller.FliggyPublicController.order(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.sunshine.publicserver.fliggy.vo.OrderRequest)
2017-10-25 23:22:43,848 INFO  [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping:180 Mapped "{[/fliggy/verify],methods=[POST],params=[],headers=[],consumes=[text/plain],produces=[],custom=[]}" onto public com.sunshine.common.http.response.CommonResponse com.sunshine.publicserver.controller.FliggyPublicController.verify(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.sunshine.publicserver.fliggy.vo.VerifyRequest)
2017-10-25 23:22:43,848 INFO  [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping:180 Mapped "{[/fliggy/search],methods=[POST],params=[],headers=[],consumes=[text/plain],produces=[],custom=[]}" onto public com.sunshine.common.http.response.CommonResponse com.sunshine.publicserver.controller.FliggyPublicController.search(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.sunshine.publicserver.fliggy.vo.SearchRequest)
