2017-10-02 14:13:20,027 INFO  [main] o.s.w.c.ContextLoader:285 Root WebApplicationContext: initialization started
2017-10-02 14:13:20,088 INFO  [main] o.s.w.c.s.XmlWebApplicationContext:512 Refreshing Root WebApplicationContext: startup date [Mon Oct 02 14:13:20 CST 2017]; root of context hierarchy
2017-10-02 14:13:20,132 INFO  [main] o.s.b.f.x.XmlBeanDefinitionReader:316 Loading XML bean definitions from class path resource [spring/root-context.xml]
2017-10-02 14:13:20,418 INFO  [main] o.s.b.f.x.XmlBeanDefinitionReader:316 Loading XML bean definitions from class path resource [spring/mvc-context.xml]
2017-10-02 14:13:20,582 INFO  [main] o.s.b.f.x.XmlBeanDefinitionReader:316 Loading XML bean definitions from class path resource [spring/shunt.xml]
2017-10-02 14:13:20,788 INFO  [main] o.s.b.f.c.PropertyPlaceholderConfigurer:172 Loading properties file from class path resource [jdbc.properties]
2017-10-02 14:13:20,803 INFO  [main] o.s.b.f.a.AutowiredAnnotationBeanPostProcessor:141 JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-10-02 14:13:20,996 INFO  [main] o.s.b.f.s.DefaultListableBeanFactory:603 Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@6cfbbff7: defining beans [org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.context.annotation.internalPersistenceAnnotationProcessor,org.springframework.beans.factory.config.PropertyPlaceholderConfigurer#0,mvcContentNegotiationManager,org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping#0,org.springframework.format.support.FormattingConversionServiceFactoryBean#0,org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter#0,org.springframework.web.servlet.handler.MappedInterceptor#0,org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver#0,org.springframework.web.servlet.mvc.annotation.ResponseStatusExceptionResolver#0,org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver#0,org.springframework.web.servlet.handler.BeanNameUrlHandlerMapping,org.springframework.web.servlet.mvc.HttpRequestHandlerAdapter,org.springframework.web.servlet.mvc.SimpleControllerHandlerAdapter,org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0,org.springframework.web.servlet.handler.SimpleUrlHandlerMapping#0,org.springframework.web.servlet.view.InternalResourceViewResolver#0,rest,org.springframework.web.servlet.handler.SimpleMappingExceptionResolver#0,conversionService,org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor]; root of factory hierarchy
2017-10-02 14:13:21,536 INFO  [main] o.s.w.s.h.SimpleUrlHandlerMapping:315 Mapped URL path [/images/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0'
2017-10-02 14:13:21,604 INFO  [main] o.s.w.c.ContextLoader:325 Root WebApplicationContext: initialization completed in 1575 ms
2017-10-02 14:13:21,663 INFO  [main] o.s.w.s.DispatcherServlet:457 FrameworkServlet 'restapi': initialization started
